<TICKER>,<DATE>,<TIME>,<OPEN>,<LOW>,<HIGH>,<CLOSE>
EURJPY,20010829,00:00:00,109.5300,108.3200,109.6200,109.0900
EURJPY,20010830,00:00:00,109.0900,108.5400,109.5900,109.4200
EURJPY,20010831,00:00:00,109.4300,107.6600,109.5300,108.2000
EURJPY,20010903,00:00:00,108.2700,107.5300,108.3400,107.7600
EURJPY,20010904,00:00:00,107.7600,105.5200,107.8900,106.0100
EURJPY,20010905,00:00:00,106.0100,105.8100,107.4700,106.9700
EURJPY,20010906,00:00:00,106.9600,106.9400,108.4600,108.2300
EURJPY,20010907,00:00:00,108.2300,108.0100,108.8900,108.8500
EURJPY,20010910,00:00:00,108.9000,108.3900,109.0900,108.6400
EURJPY,20010911,00:00:00,108.6500,107.4500,109.7200,109.2000
EURJPY,20010912,00:00:00,109.2000,107.8900,109.2000,108.3600
EURJPY,20010913,00:00:00,108.3700,107.6900,108.5600,108.3400
EURJPY,20010914,00:00:00,108.3400,107.6800,108.9900,107.9300
EURJPY,20010917,00:00:00,108.5300,107.8800,109.7700,108.8700
EURJPY,20010918,00:00:00,108.8600,108.1200,108.9300,108.7400
EURJPY,20010919,00:00:00,108.7400,108.5100,109.3800,108.9300
EURJPY,20010920,00:00:00,108.9300,107.0000,109.1200,107.9100
EURJPY,20010921,00:00:00,107.9000,106.0800,108.2000,106.5700
EURJPY,20010924,00:00:00,106.7100,106.2500,107.9000,107.6800
EURJPY,20010925,00:00:00,107.6700,107.2500,108.6900,108.5100
EURJPY,20010926,00:00:00,108.5000,108.1200,108.8500,108.6800
EURJPY,20010927,00:00:00,108.6800,108.5200,110.2300,109.8500
EURJPY,20010928,00:00:00,109.8500,108.2500,109.9600,108.7900
EURJPY,20011001,00:00:00,108.7400,108.4500,110.4500,110.2300
EURJPY,20011002,00:00:00,110.2000,109.9900,111.0600,110.7900
EURJPY,20011003,00:00:00,110.8000,110.1700,111.7500,110.2400
EURJPY,20011004,00:00:00,110.2500,109.7900,110.7100,110.6000
EURJPY,20011005,00:00:00,110.5900,110.0600,110.9000,110.6000
EURJPY,20011008,00:00:00,110.5500,109.8900,110.6100,110.2100
EURJPY,20011009,00:00:00,110.2100,109.6000,110.7300,109.7100
EURJPY,20011010,00:00:00,109.7100,109.4700,110.1800,109.5500
EURJPY,20011011,00:00:00,109.5600,109.2500,109.8900,109.5700
EURJPY,20011012,00:00:00,109.5700,109.3200,110.4200,110.3200
