ticker,date,time,open,low,high,close
EURCHF,20081031,00:00:00,1.4709,1.4542,1.4818,1.4745
EURCHF,20081103,00:00:00,1.4752,1.4739,1.4886,1.4827
EURCHF,20081104,00:00:00,1.4828,1.4776,1.5144,1.5106
EURCHF,20081105,00:00:00,1.5106,1.4961,1.5169,1.4980
EURCHF,20081106,00:00:00,1.4980,1.4944,1.5068,1.4951
EURCHF,20081107,00:00:00,1.4950,1.4923,1.5043,1.5017
EURCHF,20081110,00:00:00,1.5041,1.5009,1.5164,1.5024
EURCHF,20081111,00:00:00,1.5023,1.4835,1.5043,1.4855
EURCHF,20081112,00:00:00,1.4855,1.4712,1.4936,1.4787
EURCHF,20081113,00:00:00,1.4788,1.4763,1.5216,1.5184
EURCHF,20081114,00:00:00,1.5183,1.5043,1.5196,1.5122
EURCHF,20081117,00:00:00,1.5039,1.4997,1.5232,1.5146
EURCHF,20081118,00:00:00,1.5147,1.5087,1.5204,1.5195
EURCHF,20081119,00:00:00,1.5194,1.5145,1.5325,1.5154
EURCHF,20081120,00:00:00,1.5155,1.5125,1.5361,1.5236
EURCHF,20081121,00:00:00,1.5237,1.5224,1.5414,1.5364
EURCHF,20081124,00:00:00,1.5392,1.5341,1.5469,1.5450
EURCHF,20081125,00:00:00,1.5451,1.5398,1.5515,1.5457
EURCHF,20081126,00:00:00,1.5458,1.5412,1.5529,1.5483
EURCHF,20081127,00:00:00,1.5482,1.5437,1.5517,1.5482
EURCHF,20081128,00:00:00,1.5482,1.5398,1.5511,1.5412
EURCHF,20081201,00:00:00,1.5417,1.5179,1.5423,1.5188
EURCHF,20081202,00:00:00,1.5189,1.5160,1.5357,1.5340
EURCHF,20081203,00:00:00,1.5340,1.5267,1.5395,1.5366
EURCHF,20081204,00:00:00,1.5365,1.5219,1.5396,1.5261
EURCHF,20081205,00:00:00,1.5262,1.5260,1.5542,1.5539
EURCHF,20081208,00:00:00,1.5526,1.5504,1.5614,1.5588
EURCHF,20081209,00:00:00,1.5588,1.5554,1.5641,1.5577
EURCHF,20081210,00:00:00,1.5578,1.5543,1.5625,1.5604
EURCHF,20081211,00:00:00,1.5603,1.5582,1.5813,1.5810
EURCHF,20081212,00:00:00,1.5810,1.5684,1.5810,1.5733
EURCHF,20081215,00:00:00,1.5721,1.5719,1.5879,1.5859
EURCHF,20081216,00:00:00,1.5859,1.5719,1.5866,1.5726
EURCHF,20081217,00:00:00,1.5727,1.5436,1.5776,1.5465
EURCHF,20081218,00:00:00,1.5464,1.5289,1.5512,1.5426
EURCHF,20081219,00:00:00,1.5427,1.5347,1.5472,1.5360
EURCHF,20081222,00:00:00,1.5373,1.5197,1.5422,1.5227
EURCHF,20081223,00:00:00,1.5228,1.5124,1.5309,1.5158
EURCHF,20081224,00:00:00,1.5157,1.5006,1.5184,1.5031
EURCHF,20081226,00:00:00,1.5106,1.5008,1.5141,1.5011
EURCHF,20081229,00:00:00,1.5016,1.4754,1.5039,1.4797
EURCHF,20081230,00:00:00,1.4796,1.4769,1.4995,1.4900
EURCHF,20081231,00:00:00,1.4899,1.4757,1.4935,1.4910
EURCHF,20090101,00:00:00,1.4899,1.4899,1.4920,1.4916
EURCHF,20090102,00:00:00,1.4918,1.4813,1.5020,1.5000
EURCHF,20090105,00:00:00,1.5013,1.4927,1.5140,1.5136
EURCHF,20090106,00:00:00,1.5135,1.4974,1.5136,1.5066
EURCHF,20090107,00:00:00,1.5067,1.4931,1.5092,1.5035
EURCHF,20090108,00:00:00,1.5034,1.4932,1.5041,1.4985
EURCHF,20090109,00:00:00,1.4984,1.4921,1.5047,1.4957
EURCHF,20090112,00:00:00,1.4966,1.4852,1.5033,1.4895
EURCHF,20090113,00:00:00,1.4894,1.4735,1.4902,1.4749
EURCHF,20090114,00:00:00,1.4750,1.4655,1.4836,1.4710
EURCHF,20090115,00:00:00,1.4711,1.4674,1.4813,1.4759
EURCHF,20090116,00:00:00,1.4760,1.4740,1.4880,1.4842
EURCHF,20090119,00:00:00,1.4869,1.4800,1.4927,1.4820
EURCHF,20090120,00:00:00,1.4818,1.4759,1.4858,1.4780
EURCHF,20090121,00:00:00,1.4781,1.4736,1.5046,1.5033
