<TICKER>,<DATE>,<TIME>,<OPEN>,<LOW>,<HIGH>,<CLOSE>
GBPJPY,20051123,00:00:00,204.5000,203.6600,204.8300,204.5800
GBPJPY,20051124,00:00:00,204.5600,204.2500,205.1900,204.7600
GBPJPY,20051125,00:00:00,204.7900,204.7400,205.6600,205.0000
GBPJPY,20051128,00:00:00,204.9300,204.3200,205.6900,205.5000
GBPJPY,20051129,00:00:00,205.4300,205.0300,205.7300,205.4900
GBPJPY,20051130,00:00:00,205.4900,205.1800,207.5300,207.1500
GBPJPY,20051201,00:00:00,207.1400,206.8900,208.9500,208.6500
GBPJPY,20051202,00:00:00,208.6300,207.9900,209.6400,208.8800
GBPJPY,20051205,00:00:00,209.7300,209.3800,210.6500,210.6300
GBPJPY,20051206,00:00:00,210.6400,209.7500,211.3600,210.1700
GBPJPY,20051207,00:00:00,210.1600,209.1500,210.4800,209.9100
GBPJPY,20051208,00:00:00,209.9000,208.8300,211.0200,210.8300
GBPJPY,20051209,00:00:00,210.8300,210.3700,211.7800,211.6700
GBPJPY,20051212,00:00:00,211.4800,211.4700,212.8900,212.6200
GBPJPY,20051213,00:00:00,212.6100,211.9100,212.9900,212.3900
GBPJPY,20051214,00:00:00,212.3900,206.9100,212.6700,208.3200
GBPJPY,20051215,00:00:00,208.3500,204.9700,208.5800,205.4300
GBPJPY,20051216,00:00:00,205.4500,203.9300,206.3200,205.0200
GBPJPY,20051219,00:00:00,204.4200,204.1000,206.5100,204.7600
GBPJPY,20051220,00:00:00,204.7700,204.4400,205.9700,205.4200
GBPJPY,20051221,00:00:00,205.4600,204.1000,205.9600,204.7400
GBPJPY,20051222,00:00:00,204.7600,202.3400,205.1700,202.6800
GBPJPY,20051223,00:00:00,202.6900,201.1700,202.9600,201.6300
GBPJPY,20051226,00:00:00,201.8200,201.1900,202.0500,201.6600
GBPJPY,20051227,00:00:00,201.6600,201.6200,203.4700,202.7700
GBPJPY,20051228,00:00:00,202.7500,201.8500,203.7900,202.3200
GBPJPY,20051229,00:00:00,202.3000,202.2200,203.4900,203.1000
GBPJPY,20051230,00:00:00,203.1000,201.8700,203.5700,202.9000
GBPJPY,20060102,00:00:00,202.9700,202.2600,203.4200,202.6300
GBPJPY,20060103,00:00:00,202.6300,202.2300,203.1000,202.9400
GBPJPY,20060104,00:00:00,202.9500,202.3800,204.7400,203.9000
GBPJPY,20060105,00:00:00,203.9100,202.9300,204.5300,203.6500
GBPJPY,20060106,00:00:00,203.6400,202.1000,203.9700,202.5400
GBPJPY,20060109,00:00:00,202.4900,201.1200,202.6700,202.1800
GBPJPY,20060110,00:00:00,202.1700,201.5200,202.5700,201.7900
GBPJPY,20060111,00:00:00,201.8000,200.5400,202.3000,201.6600
GBPJPY,20060112,00:00:00,201.6500,200.7000,201.8800,201.6900
GBPJPY,20060113,00:00:00,201.7000,201.5000,203.1600,202.8500
GBPJPY,20060116,00:00:00,202.6700,202.3400,203.4700,203.3700
GBPJPY,20060117,00:00:00,203.3800,202.4100,204.3200,204.0900
GBPJPY,20060118,00:00:00,204.1200,202.7800,204.4300,203.1300
GBPJPY,20060119,00:00:00,203.1100,202.0300,203.3400,202.9000
GBPJPY,20060120,00:00:00,202.9300,202.3500,204.1600,204.1000
GBPJPY,20060123,00:00:00,203.9700,203.4000,204.8700,204.6200
GBPJPY,20060124,00:00:00,204.6100,204.1100,205.0900,204.8500
GBPJPY,20060125,00:00:00,204.8200,204.7900,207.1200,206.4500
GBPJPY,20060126,00:00:00,206.4500,206.1500,207.6200,207.2400
GBPJPY,20060127,00:00:00,207.2400,206.5600,208.1200,207.2800
GBPJPY,20060130,00:00:00,207.3900,206.9900,208.2700,207.9700
GBPJPY,20060131,00:00:00,207.9600,207.3400,208.9900,208.4800
GBPJPY,20060201,00:00:00,208.5000,208.2200,209.8700,209.5200
GBPJPY,20060202,00:00:00,209.4800,209.2800,211.1000,211.0000
GBPJPY,20060203,00:00:00,211.0100,209.3900,211.0300,209.4000
GBPJPY,20060206,00:00:00,209.5000,207.5100,209.5300,207.9800
GBPJPY,20060207,00:00:00,207.9900,205.4400,208.1500,205.6400
GBPJPY,20060208,00:00:00,205.6400,205.1800,206.6800,206.2800
GBPJPY,20060209,00:00:00,206.3100,206.0100,207.1300,206.9800
GBPJPY,20060210,00:00:00,206.9900,204.7800,207.2700,205.5900
GBPJPY,20060213,00:00:00,205.3200,204.8400,205.6300,205.0000
GBPJPY,20060214,00:00:00,205.0000,202.9200,205.0400,203.7400
GBPJPY,20060215,00:00:00,203.7300,203.6800,205.3300,205.0700
GBPJPY,20060216,00:00:00,205.0800,204.1000,205.2500,204.5400
GBPJPY,20060217,00:00:00,204.5400,204.1200,206.2600,205.7900
GBPJPY,20060220,00:00:00,205.9400,205.6700,206.3900,206.3800
GBPJPY,20060221,00:00:00,206.3400,206.2400,207.7200,207.2400
GBPJPY,20060222,00:00:00,207.2200,206.0400,207.4400,206.4900
GBPJPY,20060223,00:00:00,206.5100,204.6800,206.5300,204.9900
GBPJPY,20060224,00:00:00,204.9900,203.6400,205.1400,203.7900
GBPJPY,20060227,00:00:00,204.0300,201.6600,204.1400,202.1500
GBPJPY,20060228,00:00:00,202.1600,201.9700,203.3900,202.9800
GBPJPY,20060301,00:00:00,202.9800,202.5600,204.1800,202.9800
GBPJPY,20060302,00:00:00,202.9500,202.5100,203.4800,203.1800
GBPJPY,20060303,00:00:00,203.1700,202.7100,204.6500,204.1200
GBPJPY,20060306,00:00:00,204.3600,204.0300,206.0300,205.6300
GBPJPY,20060307,00:00:00,205.6400,203.9800,205.8200,204.3800
GBPJPY,20060308,00:00:00,204.3900,203.7600,205.0700,204.6400
GBPJPY,20060309,00:00:00,204.6600,203.6900,205.4600,205.1200
GBPJPY,20060310,00:00:00,205.1600,204.8000,205.9200,205.3900
GBPJPY,20060313,00:00:00,205.1900,204.9000,206.1500,205.8100
GBPJPY,20060314,00:00:00,205.8100,204.6500,206.0400,205.2400
GBPJPY,20060315,00:00:00,205.2500,204.7000,205.6400,205.1700
GBPJPY,20060316,00:00:00,205.1700,205.0900,205.7800,205.3100
GBPJPY,20060317,00:00:00,205.3200,203.2100,205.4000,203.4600
GBPJPY,20060320,00:00:00,203.6300,202.7600,204.5100,204.2700
GBPJPY,20060321,00:00:00,204.2900,203.5900,205.0000,204.6800
GBPJPY,20060322,00:00:00,204.7400,203.8400,205.1900,204.4200
GBPJPY,20060323,00:00:00,204.4100,203.5400,204.6600,204.3300
GBPJPY,20060324,00:00:00,204.3700,204.2500,205.6900,204.7400
GBPJPY,20060327,00:00:00,204.8500,203.3600,204.9600,203.8100
GBPJPY,20060328,00:00:00,203.8500,203.1500,205.7600,205.4600
GBPJPY,20060329,00:00:00,205.5000,204.0000,205.5600,204.1900
GBPJPY,20060330,00:00:00,204.2100,203.8800,205.1200,204.8400
GBPJPY,20060331,00:00:00,204.8300,204.0800,205.3100,204.3300
GBPJPY,20060403,00:00:00,204.4700,204.1000,205.2400,204.8500
GBPJPY,20060404,00:00:00,204.8300,204.4200,206.3200,206.2400
GBPJPY,20060405,00:00:00,206.2500,205.2100,206.2500,205.8000
GBPJPY,20060406,00:00:00,205.8000,205.5700,206.8300,206.2800
GBPJPY,20060407,00:00:00,206.2700,205.1100,206.5700,206.1900
GBPJPY,20060410,00:00:00,205.9200,205.6900,206.8300,206.3000
GBPJPY,20060411,00:00:00,206.2900,206.1000,207.3000,206.8800
GBPJPY,20060412,00:00:00,206.8800,206.2500,207.5300,207.3700
GBPJPY,20060413,00:00:00,207.3800,207.1400,207.9700,207.7300
GBPJPY,20060414,00:00:00,207.7400,207.5500,207.9400,207.7300
GBPJPY,20060417,00:00:00,207.8000,207.5600,208.6300,208.5000
GBPJPY,20060418,00:00:00,208.4900,208.3000,209.2300,208.7400
GBPJPY,20060419,00:00:00,208.7500,208.1400,210.7600,210.2000
GBPJPY,20060420,00:00:00,210.2000,208.7800,210.4700,208.8000
GBPJPY,20060421,00:00:00,208.7900,207.7100,209.6900,207.8800
GBPJPY,20060424,00:00:00,206.6900,204.4400,207.1000,204.9100
GBPJPY,20060425,00:00:00,204.9100,204.1200,205.5100,205.2500
GBPJPY,20060426,00:00:00,205.2600,204.5400,205.8300,204.8100
GBPJPY,20060427,00:00:00,204.8200,203.8500,205.8300,205.6500
GBPJPY,20060428,00:00:00,205.6400,205.5300,207.6000,207.5700
GBPJPY,20060501,00:00:00,207.2300,206.1500,207.6500,207.1100
GBPJPY,20060502,00:00:00,207.1200,207.0600,208.7800,208.5800
GBPJPY,20060503,00:00:00,208.5700,207.8900,209.5700,209.3100
GBPJPY,20060504,00:00:00,209.3200,209.0400,210.6300,210.2100
GBPJPY,20060505,00:00:00,210.2000,208.6200,210.9600,209.0000
GBPJPY,20060508,00:00:00,208.4300,206.8800,208.8700,207.5900
GBPJPY,20060509,00:00:00,207.6000,206.6300,207.6100,207.2700
GBPJPY,20060510,00:00:00,207.2800,205.4000,207.4600,206.1600
GBPJPY,20060511,00:00:00,206.1700,205.9200,208.4100,208.3800
GBPJPY,20060512,00:00:00,208.3900,207.1700,208.9400,208.4400
GBPJPY,20060515,00:00:00,207.9000,206.9000,208.3400,207.4800
GBPJPY,20060516,00:00:00,207.4900,206.9300,208.0200,207.0700
GBPJPY,20060517,00:00:00,207.0800,206.4300,209.1200,208.9600
GBPJPY,20060518,00:00:00,208.9500,208.1600,209.9800,209.8800
GBPJPY,20060519,00:00:00,209.8900,209.0600,210.1500,209.7500
GBPJPY,20060522,00:00:00,209.8100,209.3800,211.0900,210.0400
GBPJPY,20060523,00:00:00,210.0300,209.1200,210.6800,210.1900
GBPJPY,20060524,00:00:00,210.1600,210.1000,211.2200,210.8800
GBPJPY,20060525,00:00:00,210.8900,209.0400,211.0500,209.6000
GBPJPY,20060526,00:00:00,209.6100,208.5800,209.7800,209.2200
GBPJPY,20060529,00:00:00,209.2700,208.6900,209.2900,208.9200
GBPJPY,20060530,00:00:00,208.9200,208.9200,211.4100,211.2000
GBPJPY,20060531,00:00:00,211.1900,209.7200,211.3200,210.6900
GBPJPY,20060601,00:00:00,210.6900,209.8300,210.8400,210.0900
GBPJPY,20060602,00:00:00,210.1000,209.7800,210.7400,210.1600
GBPJPY,20060605,00:00:00,210.3200,209.5600,210.8400,210.0100
GBPJPY,20060606,00:00:00,210.0100,209.8700,211.1200,210.6200
GBPJPY,20060607,00:00:00,210.6100,210.3600,210.9400,210.5300
GBPJPY,20060608,00:00:00,210.5400,210.1600,211.0500,210.3100
GBPJPY,20060609,00:00:00,210.3100,209.5900,210.3100,209.7600
GBPJPY,20060612,00:00:00,209.8300,209.8300,210.8800,210.7900
GBPJPY,20060613,00:00:00,210.8100,210.4800,212.0500,211.4900
GBPJPY,20060614,00:00:00,211.4800,211.0700,212.4000,211.8500
GBPJPY,20060615,00:00:00,211.8500,211.6500,212.7600,212.2600
GBPJPY,20060616,00:00:00,212.2700,212.1100,213.1800,212.9000
GBPJPY,20060619,00:00:00,213.3500,211.9200,213.6700,212.5000
GBPJPY,20060620,00:00:00,212.5100,211.2600,212.6000,211.6500
GBPJPY,20060621,00:00:00,211.6500,211.2200,212.1500,211.8600
GBPJPY,20060622,00:00:00,211.8600,211.4000,212.5800,212.2500
GBPJPY,20060623,00:00:00,212.2500,210.8900,212.4000,211.9200
GBPJPY,20060626,00:00:00,211.8300,211.3800,212.1200,211.9200
GBPJPY,20060627,00:00:00,211.9100,211.3800,212.3100,211.6900
GBPJPY,20060628,00:00:00,211.7000,211.1100,211.9900,211.6600
GBPJPY,20060629,00:00:00,211.6700,209.9100,211.8700,210.2000
GBPJPY,20060630,00:00:00,210.2100,209.8200,211.7500,211.5800
GBPJPY,20060703,00:00:00,211.1500,210.7800,211.8400,211.3400
GBPJPY,20060704,00:00:00,211.3400,210.9700,211.9400,211.8900
GBPJPY,20060705,00:00:00,211.8900,211.4900,212.4600,212.1800
GBPJPY,20060706,00:00:00,212.1700,211.1800,212.2900,211.4600
GBPJPY,20060707,00:00:00,211.4700,210.7000,211.7600,210.9200
GBPJPY,20060710,00:00:00,210.6700,209.5200,210.9000,210.3800
GBPJPY,20060711,00:00:00,210.3900,210.0300,210.9300,210.7600
GBPJPY,20060712,00:00:00,210.7600,210.6400,211.9700,211.7600
GBPJPY,20060713,00:00:00,211.7500,211.4000,212.7500,212.7100
GBPJPY,20060714,00:00:00,212.7000,212.6200,213.6900,213.5200
GBPJPY,20060717,00:00:00,213.8200,212.7200,213.8400,213.0800
GBPJPY,20060718,00:00:00,213.0800,212.5600,214.6500,214.2000
GBPJPY,20060719,00:00:00,214.2100,213.8600,215.3700,215.2100
GBPJPY,20060720,00:00:00,215.2200,214.9600,216.5000,216.2800
GBPJPY,20060721,00:00:00,216.2900,214.8900,216.3500,215.9400
GBPJPY,20060724,00:00:00,215.8900,215.6100,216.3500,215.8500
GBPJPY,20060725,00:00:00,215.8500,215.4500,216.1800,215.6000
GBPJPY,20060726,00:00:00,215.5900,214.6800,216.1700,215.6800
GBPJPY,20060727,00:00:00,215.6900,214.9400,215.7600,215.0700
GBPJPY,20060728,00:00:00,215.0700,213.6700,215.2500,213.7800
GBPJPY,20060731,00:00:00,213.5800,212.9300,214.3300,214.1000
GBPJPY,20060801,00:00:00,214.1100,213.5700,215.2300,215.0200
GBPJPY,20060802,00:00:00,215.0200,214.3500,215.3500,215.2000
GBPJPY,20060803,00:00:00,215.2000,214.9300,217.3800,216.9600
GBPJPY,20060804,00:00:00,216.9600,216.9000,218.4700,218.2900
GBPJPY,20060807,00:00:00,217.8000,217.7600,219.7200,219.3200
GBPJPY,20060808,00:00:00,219.3300,218.9300,219.9300,219.8600
GBPJPY,20060809,00:00:00,219.8500,219.1400,220.0900,219.6400
GBPJPY,20060810,00:00:00,219.6500,217.9800,219.8900,218.1900
GBPJPY,20060811,00:00:00,218.1900,218.0600,220.2500,219.8000
GBPJPY,20060814,00:00:00,219.8600,219.8100,220.5000,220.2700
GBPJPY,20060815,00:00:00,220.2800,219.6100,220.5300,219.8000
GBPJPY,20060816,00:00:00,219.8000,219.2400,220.2200,219.6500
GBPJPY,20060817,00:00:00,219.6600,218.4000,219.6800,218.8400
GBPJPY,20060818,00:00:00,218.8300,217.4300,218.8300,217.8400
GBPJPY,20060821,00:00:00,217.7600,217.7200,219.7800,219.3900
GBPJPY,20060822,00:00:00,219.3900,219.2400,220.3000,219.8800
GBPJPY,20060823,00:00:00,219.8900,219.4900,220.7600,220.2800
GBPJPY,20060824,00:00:00,220.2800,219.7700,220.5100,219.8700
GBPJPY,20060825,00:00:00,219.8800,219.7500,221.6300,221.3400
GBPJPY,20060828,00:00:00,221.3300,221.1600,222.3200,221.9300
GBPJPY,20060829,00:00:00,221.9300,220.9100,222.0700,221.5100
GBPJPY,20060830,00:00:00,221.5200,221.4300,223.1900,222.9700
GBPJPY,20060831,00:00:00,222.9700,222.7800,223.8000,223.4100
GBPJPY,20060901,00:00:00,223.4100,222.2100,223.5700,223.1700
GBPJPY,20060904,00:00:00,222.9300,220.6900,223.0700,221.2900
GBPJPY,20060905,00:00:00,221.3000,219.3400,221.4000,219.8500
GBPJPY,20060906,00:00:00,219.8600,219.1800,220.6200,219.9300
GBPJPY,20060907,00:00:00,219.9200,217.5800,220.3100,218.4000
GBPJPY,20060908,00:00:00,218.4100,217.3600,218.4400,217.9700
GBPJPY,20060911,00:00:00,218.0400,217.6000,219.4900,219.2900
GBPJPY,20060912,00:00:00,219.3000,219.2300,221.2000,220.8500
GBPJPY,20060913,00:00:00,220.8400,220.1700,221.1000,220.5000
GBPJPY,20060914,00:00:00,220.4900,220.3200,222.0600,221.7200
GBPJPY,20060915,00:00:00,221.7200,220.2400,222.0400,221.0300
GBPJPY,20060918,00:00:00,220.5700,220.5500,222.2200,221.7600
GBPJPY,20060919,00:00:00,221.7500,220.8000,222.1900,221.2800
GBPJPY,20060920,00:00:00,221.2700,220.1700,221.9500,221.4500
GBPJPY,20060921,00:00:00,221.4400,221.0700,221.9600,221.3700
GBPJPY,20060922,00:00:00,221.3800,220.8900,221.9000,221.4600
GBPJPY,20060925,00:00:00,221.3100,221.0500,222.0600,221.4300
GBPJPY,20060926,00:00:00,221.4100,220.4500,222.1900,221.7900
GBPJPY,20060927,00:00:00,221.8000,221.0400,222.0000,221.8400
GBPJPY,20060928,00:00:00,221.8400,220.6600,222.1400,220.8700
GBPJPY,20060929,00:00:00,220.8600,219.9300,221.1700,221.1300
GBPJPY,20061002,00:00:00,221.3700,220.6400,222.0800,222.0600
GBPJPY,20061003,00:00:00,222.0500,221.6200,222.6800,222.6200
GBPJPY,20061004,00:00:00,222.6200,221.8200,222.8600,222.2500
GBPJPY,20061005,00:00:00,222.2500,220.4400,222.3200,221.1500
GBPJPY,20061006,00:00:00,221.1600,221.1200,222.6500,222.5800
GBPJPY,20061009,00:00:00,222.3300,221.9600,223.0700,222.2800
GBPJPY,20061010,00:00:00,222.2700,221.6500,222.5600,221.8400
GBPJPY,20061011,00:00:00,221.8300,221.5300,222.1300,221.8700
GBPJPY,20061012,00:00:00,221.8600,221.6300,222.3500,221.8000
GBPJPY,20061013,00:00:00,221.7900,221.6200,222.3700,222.1200
