<TICKER>,<DATE>,<TIME>,<OPEN>,<LOW>,<HIGH>,<CLOSE>
GBPCHF,20020919,00:00:00,2.3265,2.3055,2.3293,2.3081
GBPCHF,20020920,00:00:00,2.3081,2.3059,2.3229,2.3187
GBPCHF,20020923,00:00:00,2.3191,2.3119,2.3283,2.3203
GBPCHF,20020924,00:00:00,2.3204,2.3166,2.3292,2.3258
GBPCHF,20020925,00:00:00,2.3257,2.3211,2.3391,2.3343
GBPCHF,20020926,00:00:00,2.3344,2.3296,2.3450,2.3395
GBPCHF,20020927,00:00:00,2.3395,2.3305,2.3418,2.3311
GBPCHF,20020930,00:00:00,2.3309,2.3121,2.3326,2.3132
GBPCHF,20021001,00:00:00,2.3133,2.3121,2.3307,2.3276
GBPCHF,20021002,00:00:00,2.3277,2.3180,2.3309,2.3210
GBPCHF,20021003,00:00:00,2.3209,2.3147,2.3243,2.3200
GBPCHF,20021004,00:00:00,2.3201,2.3180,2.3409,2.3351
GBPCHF,20021007,00:00:00,2.3351,2.3276,2.3377,2.3301
GBPCHF,20021008,00:00:00,2.3302,2.3254,2.3423,2.3256
GBPCHF,20021009,00:00:00,2.3257,2.3097,2.3291,2.3140
GBPCHF,20021010,00:00:00,2.3141,2.3100,2.3240,2.3210
GBPCHF,20021011,00:00:00,2.3211,2.3144,2.3228,2.3155
GBPCHF,20021014,00:00:00,2.3130,2.3056,2.3133,2.3067
GBPCHF,20021015,00:00:00,2.3067,2.3013,2.3256,2.3184
GBPCHF,20021016,00:00:00,2.3183,2.3170,2.3271,2.3220
GBPCHF,20021017,00:00:00,2.3219,2.3211,2.3477,2.3428
GBPCHF,20021018,00:00:00,2.3429,2.3348,2.3451,2.3384
GBPCHF,20021021,00:00:00,2.3371,2.3282,2.3432,2.3313
GBPCHF,20021022,00:00:00,2.3314,2.3179,2.3357,2.3222
GBPCHF,20021023,00:00:00,2.3221,2.3179,2.3309,2.3289
GBPCHF,20021024,00:00:00,2.3289,2.3264,2.3334,2.3321
GBPCHF,20021025,00:00:00,2.3320,2.3272,2.3348,2.3305
GBPCHF,20021028,00:00:00,2.3262,2.3154,2.3331,2.3214
GBPCHF,20021029,00:00:00,2.3213,2.3146,2.3247,2.3199
GBPCHF,20021030,00:00:00,2.3199,2.3151,2.3212,2.3151
GBPCHF,20021031,00:00:00,2.3150,2.3082,2.3170,2.3106
GBPCHF,20021101,00:00:00,2.3107,2.2862,2.3127,2.2934
GBPCHF,20021104,00:00:00,2.2951,2.2802,2.2974,2.2825
GBPCHF,20021105,00:00:00,2.2825,2.2756,2.2883,2.2851
GBPCHF,20021106,00:00:00,2.2852,2.2762,2.2921,2.2773
GBPCHF,20021107,00:00:00,2.2772,2.2741,2.2989,2.2907
GBPCHF,20021108,00:00:00,2.2906,2.2898,2.3020,2.2954
GBPCHF,20021111,00:00:00,2.2958,2.2922,2.3026,2.2979
GBPCHF,20021112,00:00:00,2.2980,2.2940,2.3033,2.2954
GBPCHF,20021113,00:00:00,2.2953,2.2948,2.3113,2.3063
GBPCHF,20021114,00:00:00,2.3064,2.3039,2.3121,2.3051
GBPCHF,20021115,00:00:00,2.3052,2.2937,2.3087,2.2945
GBPCHF,20021118,00:00:00,2.2938,2.2918,2.3032,2.2980
GBPCHF,20021119,00:00:00,2.2980,2.2976,2.3149,2.3120
GBPCHF,20021120,00:00:00,2.3121,2.3021,2.3147,2.3046
GBPCHF,20021121,00:00:00,2.3045,2.3042,2.3201,2.3178
GBPCHF,20021122,00:00:00,2.3179,2.3169,2.3347,2.3330
GBPCHF,20021125,00:00:00,2.3303,2.3187,2.3352,2.3237
GBPCHF,20021126,00:00:00,2.3238,2.3001,2.3274,2.3016
GBPCHF,20021127,00:00:00,2.3016,2.2972,2.3059,2.3033
GBPCHF,20021128,00:00:00,2.3033,2.3000,2.3090,2.3002
GBPCHF,20021129,00:00:00,2.3002,2.2969,2.3118,2.3083
GBPCHF,20021202,00:00:00,2.3079,2.2972,2.3186,2.3011
GBPCHF,20021203,00:00:00,2.3010,2.2966,2.3196,2.3168
GBPCHF,20021204,00:00:00,2.3167,2.3068,2.3175,2.3107
GBPCHF,20021205,00:00:00,2.3108,2.3073,2.3161,2.3104
GBPCHF,20021206,00:00:00,2.3103,2.2936,2.3114,2.2958
GBPCHF,20021209,00:00:00,2.2984,2.2953,2.3072,2.3044
GBPCHF,20021210,00:00:00,2.3045,2.2905,2.3073,2.2966
GBPCHF,20021211,00:00:00,2.2965,2.2932,2.3061,2.3035
GBPCHF,20021212,00:00:00,2.3034,2.2883,2.3039,2.2925
GBPCHF,20021213,00:00:00,2.2926,2.2862,2.3008,2.2951
GBPCHF,20021216,00:00:00,2.2929,2.2927,2.2998,2.2946
GBPCHF,20021217,00:00:00,2.2945,2.2788,2.2976,2.2838
GBPCHF,20021218,00:00:00,2.2837,2.2768,2.2900,2.2812
GBPCHF,20021219,00:00:00,2.2813,2.2801,2.2899,2.2821
GBPCHF,20021220,00:00:00,2.2822,2.2794,2.2862,2.2823
GBPCHF,20021223,00:00:00,2.2812,2.2547,2.2818,2.2601
GBPCHF,20021224,00:00:00,2.2602,2.2390,2.2615,2.2469
GBPCHF,20021226,00:00:00,2.2429,2.2379,2.2452,2.2434
GBPCHF,20021227,00:00:00,2.2433,2.2284,2.2479,2.2296
GBPCHF,20021230,00:00:00,2.2342,2.2194,2.2388,2.2240
GBPCHF,20021231,00:00:00,2.2239,2.2229,2.2360,2.2257
GBPCHF,20030102,00:00:00,2.2295,2.2223,2.2411,2.2348
GBPCHF,20030103,00:00:00,2.2348,2.2312,2.2524,2.2506
GBPCHF,20030106,00:00:00,2.2493,2.2360,2.2505,2.2391
GBPCHF,20030107,00:00:00,2.2390,2.2384,2.2480,2.2465
GBPCHF,20030108,00:00:00,2.2466,2.2317,2.2492,2.2364
GBPCHF,20030109,00:00:00,2.2363,2.2300,2.2389,2.2375
GBPCHF,20030110,00:00:00,2.2376,2.2179,2.2388,2.2187
GBPCHF,20030113,00:00:00,2.2190,2.2156,2.2251,2.2187
GBPCHF,20030114,00:00:00,2.2187,2.2103,2.2255,2.2225
GBPCHF,20030115,00:00:00,2.2226,2.2134,2.2296,2.2212
GBPCHF,20030116,00:00:00,2.2211,2.2125,2.2254,2.2128
